Type,Location,Bath,Bedrooms,Precinct,Total Area,Total Price
1,"Bahria Town, Karachi",3,3,Precinct 11-A,200,22000000
1,"Bahria Town, Karachi",3,3,Precinct 27,235,19500000
1,"Bahria Town, Karachi",3,3,Precinct 2,200,26000000
1,"Bahria Town, Karachi",3,3,Precinct 10-A,200,22000000
1,"Bahria Town, Karachi",5,5,Sports City,500,51000000
1,"Bahria Town, Karachi",6,5,Precinct 51,500,50000000
1,"Bahria Town, Karachi",3,3,Precinct 27,236,19500000
1,"Bahria Town, Karachi",5,4,Sports City,350,22500000
2,"Bahria Town, Karachi",4,4,Bahria Town,200,15000000
1,"Bahria Town, Karachi",5,5,Bahria Paradise,500,45000000
2,"Bahria Town, Karachi",2,2,Bahria Town,121,9265000
2,"Bahria Town, Karachi",2,2,Bahria Town,122,8000000
1,"Bahria Town, Karachi",4,4,Sports City,350,23200000
1,"Bahria Town, Karachi",3,3,Precinct 10-A,200,20000000
1,"Bahria Town, Karachi",4,4,Bahria Town,125,5900000
1,"Bahria Town, Karachi",3,3,Precinct 31,200,14800000
1,"Bahria Town, Karachi",4,4,Precinct 10-B,132,17200000
1,"Bahria Town, Karachi",4,4,Sports City,350,27000000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,152,19000000
1,"Bahria Town, Karachi",3,3,Precinct 11-B,152,17500000
1,"Bahria Town, Karachi",3,3,Precinct 31,235,19000000
1,"Bahria Town, Karachi",3,3,Precinct 31,235,19000000
1,"Bahria Town, Karachi",3,3,Precinct 2,152,21000000
1,"Bahria Town, Karachi",3,3,Precinct 10-A,200,22500000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,200,22500000
1,"Bahria Town, Karachi",3,3,Bahria Town,125,15000000
1,"Bahria Town, Karachi",5,5,Precinct 8,250,32000000
1,"Bahria Town, Karachi",3,4,Precinct 12,125,15500000
1,"Bahria Town, Karachi",4,4,Precinct 35,350,21500000
1,"Bahria Town, Karachi",3,3,Precinct 10-A,200,19000000
1,"Bahria Town, Karachi",6,6,Precinct 8,272,42000000
1,"Bahria Town, Karachi",5,4,Precinct 8,250,43500000
1,"Bahria Town, Karachi",4,4,Precinct 35,350,24000000
1,"Bahria Town, Karachi",3,3,Precinct 12,125,15500000
1,"Bahria Town, Karachi",3,3,Precinct 11-B,152,15800000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,152,16200000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,152,18500000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,152,17400000
1,"Bahria Town, Karachi",5,5,Sports City,500,49000000
1,"Bahria Town, Karachi",3,3,Precinct 2,200,27000000
1,"Bahria Town, Karachi",3,3,Precinct 10-A,200,22500000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,200,22500000
1,"Bahria Town, Karachi",3,3,Precinct 27,235,20000000
1,"Bahria Town, Karachi",3,3,Precinct 31,235,19000000
1,"Bahria Town, Karachi",3,3,Precinct 2,152,21000000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,152,19000000
1,"Bahria Town, Karachi",2,4,Precinct 27,125,12000000
1,"Bahria Town, Karachi",2,2,Precinct 2,152,18000000
1,"Bahria Town, Karachi",2,2,Precinct 12,125,15000000
1,"Bahria Town, Karachi",4,4,Precinct 35,350,21500000
1,"Bahria Town, Karachi",3,3,Precinct 10-A,200,20000000
1,"Bahria Town, Karachi",3,3,Precinct 31,235,16000000
2,"Bahria Town, Karachi",2,2,Bahria Town,142,14700000
2,"Bahria Town, Karachi",2,2,Precinct 19,106,9800000
2,"Bahria Town, Karachi",3,3,Precinct 19,250,21500000
1,"Bahria Town, Karachi",4,4,Sports City,350,24000000
1,"Bahria Town, Karachi",5,5,Bahria Town,250,26000000
1,"Bahria Town, Karachi",4,4,Precinct 12,125,14800000
2,"Bahria Town, Karachi",1,1,Precinct 6,72,6510000
2,"Bahria Town, Karachi",2,2,Bahria Town,106,9900000
1,"Bahria Town, Karachi",3,3,Precinct 11-B,152,17500000
1,"Bahria Town, Karachi",4,4,Sports City,350,27000000
1,"Bahria Town, Karachi",3,3,Precinct 10-A,200,22000000
